paperID,mscCodes,mscGraphTheoryYesNo,graphTheory,Undefined,undefinedasCode2,analysisasCode2,graph theoryasCode2,algebraasCode2,UndefinedasCode2,number theoryasCode2,20180417_1243code1,20180417_1243code2,20180418_0913code1,20180418_0913code2,20180416_0825code1,20180416_0825code2
5a259443cf58f10bae30eaa8,,,0,7,0,7,0,0,0,0,Undefined,analysis,Undefined,analysis,Undefined,analysis
5ab4ecc5cf58f184daf9358f,05C10 ,Yes,0,8,0,0,3,5,0,0,Undefined,algebra,Undefined,algebra,Undefined,graph theory
5ab1245acf58f16135697517,,,2,4,0,0,4,0,2,0,Undefined,graph theory,,,Undefined,graph theory
5aaa2840cf58f142e8ebcc6b,,,0,5,0,0,0,5,0,0,Undefined,algebra,,,Undefined,algebra
5ab290abcf58f125f8bf8351,,,0,9,0,0,5,2,0,2,Undefined,graph theory,Undefined,graph theory,Undefined,number theory
5ab29832cf58f125f8bf92f5,,,5,0,0,0,0,0,5,0,graph theory,Undefined,,,graph theory,Undefined
5aa9dacdcf58f124f5fcc9fe,,,0,9,0,0,5,1,0,3,Undefined,graph theory,Undefined,graph theory,Undefined,number theory
5aae391dcf58f134754b2d90,,,2,2,0,0,2,0,2,0,Undefined,graph theory,,,,
5ab29171cf58f125f8bf84a6,,,0,4,0,0,4,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab4fab2cf58f18a2bd2f22a,05C75 ,Yes,3,4,0,0,4,0,3,0,Undefined,graph theory,Undefined,graph theory,,
5aae3fcbcf58f136c71d920b,,,0,7,0,0,4,3,0,0,Undefined,algebra,Undefined,graph theory,,
5aaeda95cf58f169c89d70d7,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5aaa5973cf58f15492dcb798,,,0,8,0,6,0,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,analysis
5a132d5ccf58f189eb53612f,,,0,8,2,4,0,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5ab12495cf58f161356975f4,05C35 ,Yes,0,8,0,0,8,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab29853cf58f125f8bf9347,,,2,5,0,0,5,0,2,0,Undefined,graph theory,,,Undefined,graph theory
5aaa1a30cf58f13d8a5aceef,18D10 18D20 18D50 55P48 55U40 ,No,0,6,0,0,0,6,0,0,Undefined,algebra,,,Undefined,algebra
5ab4208ccf58f13810da171e,05C12 ,Yes,0,7,0,0,7,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aaa284bcf58f142e8ebcc8b,,,0,7,0,0,0,7,0,0,Undefined,algebra,,,Undefined,algebra
5aad81edcf58f1b3ab561b3b,,,0,7,0,0,1,6,0,0,Undefined,algebra,,,Undefined,algebra
5ab2f224cf58f1761183f4a6,,,2,4,0,0,4,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5aab1050cf58f197447b934d,,,0,4,0,0,0,4,0,0,Undefined,algebra,,,,
5aacf66ccf58f185b9a127dd,,,0,6,0,0,1,5,0,0,Undefined,algebra,Undefined,algebra,,
5a140753cf58f11fea174e6b,65N55 35A15 35G15 46N40 ,No,0,7,0,2,0,5,0,0,Undefined,algebra,Undefined,analysis,Undefined,algebra
5ab4d79fcf58f17d0839afef,,,1,5,0,0,5,0,1,0,Undefined,graph theory,Undefined,graph theory,,
5a9f8e1fcf58f12e1bbc7d9f,20E22 20D60 ,No,0,7,0,0,0,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5ab2e413cf58f170bcb48374,,,2,4,0,0,4,0,2,0,Undefined,graph theory,,,Undefined,graph theory
5aae00c1cf58f120ce54feaa,,,0,7,0,0,7,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5aa9dabbcf58f124f5fcc9a3,,,0,7,0,0,0,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aae3909cf58f134754b2d6f,,,1,7,0,0,7,0,1,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab12503cf58f16135697762,05C78 05C05 ,Yes,2,4,0,0,4,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5a13e434cf58f11274280587,,,0,8,0,0,8,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a132d52cf58f189eb536101,,,0,8,0,6,0,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,analysis
5ab3e895cf58f121f131c1d0,,,0,7,0,0,0,7,0,0,Undefined,algebra,,,Undefined,algebra
5ab524c8cf58f19b4c002233,,,3,2,0,0,2,0,3,0,graph theory,Undefined,,,Undefined,graph theory
5a9f6410cf58f11dbab6c09c,,,0,7,0,0,2,5,0,0,Undefined,graph theory,,,Undefined,algebra
5a9fd4a9cf58f14811002719,,,0,7,0,0,4,3,0,0,Undefined,graph theory,,,Undefined,algebra
5aa94e41cf58f1aea5b38599,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aadeb6acf58f11a744fb05e,,,3,6,0,0,6,0,3,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aa943c5cf58f17f2047b18f,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5a2d4c38cf58f1b9aa9aab25,,,0,6,0,0,6,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5ab124eecf58f1613569771e,,,0,8,0,0,8,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aad49f4cf58f1a2a0366371,05C55 60C05 ,Yes,0,7,0,0,7,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5a2d5337cf58f1bc58a966b9,,,5,2,0,0,2,0,5,0,graph theory,Undefined,,,Undefined,graph theory
5a25cc79cf58f1236b7e2062,,,0,4,0,2,0,2,0,0,Undefined,analysis,,,,
5aad0b19cf58f18ce8e2df3a,,,1,8,0,0,8,0,1,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a25d3c0cf58f1261445bd4f,11N80 13A15 ,No,0,7,0,0,0,7,0,0,Undefined,algebra,,,Undefined,algebra
5a2d4c30cf58f1b9aa9aaaf9,,,1,4,0,0,4,0,1,0,Undefined,graph theory,,,,
5a4bd6dbcf58f11555c77401,,,0,6,0,0,6,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab36314cf58f1a0947f512b,,,2,5,0,0,5,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5a9f32bdcf58f10b91996fbc,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5ab31c43cf58f185e86729eb,,,2,6,0,0,6,0,2,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aae23d4cf58f12d65a6f639,,,0,7,0,0,3,4,0,0,Undefined,graph theory,Undefined,algebra,,
5aac0640cf58f135dfac6a99,,,2,4,0,0,4,0,2,0,Undefined,graph theory,,,Undefined,graph theory
5aa9471dcf58f17f2047bc03,,,0,3,0,0,0,3,0,0,Undefined,algebra,,,,
5a9f0fa5cf58f1bc7b6036f8,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5a9fa371cf58f1360d1a1a17,,,0,7,0,0,3,1,0,3,Undefined,graph theory,,,Undefined,number theory
5ab458efcf58f14d040d3491,,,0,7,0,0,4,3,0,0,Undefined,algebra,,,Undefined,graph theory
5ab49851cf58f164e02d85f0,,,0,7,0,0,6,1,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aad0b25cf58f18ce8e2df60,05C17 05C38 05C75 ,Yes,7,2,0,0,2,0,7,0,graph theory,Undefined,graph theory,Undefined,Undefined,graph theory
5ab4c9a1cf58f177c96190c8,,,2,4,0,0,4,0,2,0,Undefined,graph theory,,,Undefined,graph theory
5ab2e41fcf58f170bcb48391,05C30 05C20 ,Yes,0,8,0,0,8,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a1381eecf58f1aa911adb83,,,0,7,0,0,3,4,0,0,Undefined,algebra,,,Undefined,graph theory
5aa9fe19cf58f1327ff0c8c2,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aaefdd3cf58f17598a3e455,,,0,5,0,0,5,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5aad49ffcf58f1a2a036638c,,,2,5,0,0,5,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5ab29e89cf58f1535042a291,,,0,5,0,0,5,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5aacd2b2cf58f179f539d063,,,7,2,0,0,2,0,7,0,Undefined,graph theory,graph theory,Undefined,graph theory,Undefined
5aadc916cf58f1088578a036,,,3,4,0,0,4,0,3,0,Undefined,graph theory,Undefined,graph theory,,
5aae3fbecf58f136c71d91fb,,,2,4,0,0,4,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5a9f0870cf58f1b9ef65bc19,,,0,7,0,0,0,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5919441acf58f17d53939396,30A46 ,No,0,5,0,4,0,1,0,0,Undefined,analysis,Undefined,analysis,,
5aab2c45cf58f1a1c7abdcd6,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5aab80c6cf58f1035479d266,,,0,6,0,0,3,1,0,2,Undefined,graph theory,,,Undefined,number theory
5aab72a8cf58f1bca2ec917f,,,0,8,0,0,3,5,0,0,Undefined,algebra,Undefined,algebra,Undefined,graph theory
5a2d4c25cf58f1b9aa9aaab7,,,7,0,0,0,0,0,7,0,graph theory,Undefined,graph theory,Undefined,graph theory,Undefined
5ab44adacf58f147db6b2d33,05C05 05C60 ,Yes,1,4,0,0,4,0,1,0,Undefined,graph theory,Undefined,graph theory,,
5ab39b1acf58f1b5e5883686,,,2,4,0,0,4,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5aaf19cdcf58f17ff4c5d843,,,0,5,0,0,1,4,0,0,Undefined,algebra,,,Undefined,algebra
5ab1245bcf58f1613569751c,,,1,8,0,0,8,0,1,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab1262dcf58f16135697c1e,,,0,7,0,0,4,3,0,0,Undefined,algebra,,,Undefined,graph theory
5aace083cf58f1801719de26,,,0,6,0,0,6,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5ab49f99cf58f16798433bd8,,,0,6,0,0,6,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aa95c52cf58f1b465e4c9c1,,,0,8,2,4,0,2,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5ab539e3cf58f1a3b59bdcf6,05C15 ,Yes,5,0,0,0,0,0,5,0,graph theory,Undefined,graph theory,Undefined,,
5ab296ffcf58f125f8bf9043,,,0,7,0,0,0,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aa94531cf58f17f2047b5f9,,,0,7,0,0,5,1,0,1,Undefined,graph theory,Undefined,graph theory,,
5ab29172cf58f125f8bf84ab,05B30 05B15 05B40 ,No,0,8,0,0,1,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5ab4fab1cf58f18a2bd2f225,,,0,6,0,0,5,1,0,0,Undefined,graph theory,Undefined,graph theory,,
5aaa0c29cf58f138141e4176,,,0,9,0,0,0,9,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aaf35f2cf58f18abdde3df4,,,0,7,0,0,1,6,0,0,Undefined,algebra,Undefined,algebra,,
5a140741cf58f11fea174e13,,,0,8,2,2,0,4,0,0,Undefined,algebra,Undefined,analysis,Undefined,undefined
5aa942a8cf58f17f2047aed1,,,0,6,0,0,3,0,0,3,Undefined,graph theory,,,Undefined,number theory
5ab3006fcf58f17b50bdb6c0,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5a25d383cf58f1261445bc5d,,,0,8,2,0,5,1,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,undefined
5aae46d0cf58f1390d8efac1,,,0,4,0,0,4,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5aae00d7cf58f120ce54feea,,,0,6,0,0,6,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5aae31f0cf58f13214a54c80,,,3,2,0,0,2,0,3,0,Undefined,graph theory,graph theory,Undefined,,
5ab4eccdcf58f184daf935a1,,,2,2,0,0,2,0,2,0,Undefined,graph theory,,,,
5ab2989dcf58f125f8bf9423,,,0,7,0,0,7,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aae4dd6cf58f13b6915d973,,,0,6,0,0,3,3,0,0,Undefined,algebra,,,Undefined,graph theory
5ab42eb3cf58f13d4a381681,,,0,4,0,0,1,3,0,0,Undefined,algebra,,,,
5aae400bcf58f136c71d9277,,,2,2,0,0,2,0,2,0,Undefined,graph theory,,,,
5aaea235cf58f1564463734d,57M25 05C10 05C22 ,Yes,1,3,0,0,3,0,1,0,Undefined,graph theory,,,,
5a2d371ecf58f1b1aaab868d,05C35 05C75 ,Yes,5,0,0,0,0,0,5,0,graph theory,Undefined,,,,
5aaea29ecf58f1564463740a,05A99 ,No,0,7,0,0,2,5,0,0,Undefined,algebra,Undefined,algebra,Undefined,graph theory
5ab29725cf58f125f8bf9097,15B51 ,No,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5a13507ecf58f19784534801,65D30 41A55 ,No,0,4,0,0,1,3,0,0,Undefined,algebra,,,,
5a9f1d8ccf58f103051272c1,,,0,6,2,0,1,3,0,0,Undefined,algebra,Undefined,undefined,,
5a130328cf58f17a65d9d34e,,,0,9,0,0,1,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5ab12470cf58f16135697567,,,3,6,0,0,6,0,3,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab42eb4cf58f13d4a381684,,,0,7,0,0,7,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab2a4f7cf58f15860707a4d,,,0,3,0,0,3,0,0,0,Undefined,graph theory,,,,
5aa9447ccf58f17f2047b451,,,0,8,0,0,3,5,0,0,Undefined,algebra,Undefined,graph theory,Undefined,algebra
5ab29dcccf58f1535042a0dd,05E05 05A30 05E35 11B65 33D45 ,No,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aa0139acf58f15ece7ffa32,,,0,8,0,2,0,6,0,0,Undefined,algebra,Undefined,analysis,Undefined,algebra
5aaa365bcf58f14822a802ba,,,0,3,0,0,0,3,0,0,Undefined,algebra,,,,
5aafd0d0cf58f108db8186e4,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aacf61ecf58f185b9a12759,,,5,2,0,0,2,0,5,0,graph theory,Undefined,Undefined,graph theory,graph theory,Undefined
5ab2c0f6cf58f1630dbbc9e6,,,9,0,0,0,0,0,9,0,graph theory,Undefined,graph theory,Undefined,graph theory,Undefined
5aafc9b2cf58f10521dbe15a,,,0,6,0,0,6,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5aae7128cf58f14722d76c22,,,0,5,0,0,0,5,0,0,Undefined,algebra,Undefined,algebra,,
5aad81e0cf58f1b3ab561b13,,,0,9,0,0,9,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab12acfcf58f16135698f79,,,0,5,0,0,5,0,0,0,Undefined,graph theory,,,Undefined,graph theory
